match_id,p0hand,p1hand,hard,clay,grass,gender,sets_wr,sets_won,match_wr,match_win
20200207-W-Fed_Cup_Qualifiers-RR-Leylah_Annie_Fernandez-Jil_Belen_Teichmann,0,0,1,0,0,0,"[0.5416666666666666, 0.5555555555555556]","[1, 1]",0.5476190476190477,1
20200207-W-Fed_Cup_Qualifiers-RR-Aliaksandra_Sasnovich-Kiki_Bertens,1,1,0,1,0,0,"[0.47058823529411764, 0.6078431372549019, 0.7073170731707317]","[0, 1, 1]",0.5649717514124294,1
20200201-W-Australian_Open_Juniors-F-Victoria_Jimenez_Kasintseva-Weronika_Baszak,0,1,1,0,0,0,"[0.5308641975308642, 0.423728813559322, 0.3877551020408163]","[1, 0, 0]",0.4603174603174603,0
20200201-W-Australian_Open-F-Sofia_Kenin-Garbine_Muguruza,1,1,1,0,0,0,"[0.5131578947368421, 0.375, 0.4339622641509434]","[1, 0, 0]",0.4556213017751479,0
20200130-W-Australian_Open-SF-Ashleigh_Barty-Sofia_Kenin,1,1,1,0,0,0,"[0.4888888888888889, 0.5362318840579711]","[1, 1]",0.5094339622641509,1
20200128-W-Australian_Open-QF-Ons_Jabeur-Sofia_Kenin,1,1,1,0,0,0,"[0.5285714285714286, 0.5352112676056338]","[1, 1]",0.5319148936170213,1
20200127-W-Australian_Open-R16-Garbine_Muguruza-Kiki_Bertens,1,1,1,0,0,0,"[0.40425531914893614, 0.4423076923076923]","[0, 0]",0.42424242424242425,0
20200125-W-Australian_Open-R32-Zarina_Diyas-Kiki_Bertens,1,1,1,0,0,0,"[0.5882352941176471, 0.5393258426966292]","[1, 1]",0.5571428571428572,1
20200125-W-Australian_Open-R32-Iga_Swiatek-Donna_Vekic,1,1,1,0,0,0,"[0.44594594594594594, 0.44776119402985076]","[0, 0]",0.44680851063829785,0
20200124-W-Australian_Open-R32-Cori_Gauff-Naomi_Osaka,1,1,1,0,0,0,"[0.43137254901960786, 0.42592592592592593]","[0, 0]",0.42857142857142855,0
20200124-W-Australian_Open-R32-Caroline_Wozniacki-Ons_Jabeur,1,1,1,0,0,0,"[0.547945205479452, 0.4166666666666667, 0.5301204819277109]","[1, 0, 1]",0.5046296296296297,1
20200123-W-Australian_Open-R64-Lauren_Davis-Elina_Svitolina,1,1,1,0,0,0,"[0.5833333333333334, 0.5348837209302325]","[1, 1]",0.5547945205479452,1
20200123-W-Australian_Open-R64-Karolina_Muchova-Catherine_Cartan_Bellis,1,1,1,0,0,0,"[0.5230769230769231, 0.5423728813559322]","[1, 1]",0.532258064516129,1
20200123-W-Australian_Open-R64-Iga_Swiatek-Carla_Suarez_Navarro,1,1,1,0,0,0,"[0.4444444444444444, 0.46987951807228917]","[0, 0]",0.45985401459854014,0
20200123-W-Australian_Open-R64-Arina_Rodionova-Kiki_Bertens,1,1,1,0,0,0,"[0.576271186440678, 0.5606060606060606]","[1, 1]",0.568,1
20200122-W-Australian_Open-R64-Caroline_Wozniacki-Dayana_Yastremska,1,1,1,0,0,0,"[0.4418604651162791, 0.4875]","[0, 0]",0.463855421686747,0
20200122-W-Australian_Open-R64-Arantxa_Rus-Madison_Keys,0,1,1,0,0,0,"[0.5194805194805194, 0.6170212765957447]","[1, 1]",0.5564516129032258,1
20200121-W-Australian_Open-R128-Svetlana_Kuznetsova-Marketa_Vondrousova,1,0,1,0,0,0,"[0.3673469387755102, 0.5, 0.43859649122807015]","[0, 1, 0]",0.4382716049382716,0
20200121-W-Australian_Open-R128-Rebecca_Peterson-Polona_Hercog,1,1,1,0,0,0,"[0.5694444444444444, 0.5686274509803921]","[1, 1]",0.5691056910569106,1
20200121-W-Australian_Open-R128-Magda_Linette-Arantxa_Rus,1,0,1,0,0,0,"[0.37735849056603776, 0.5483870967741935, 0.5303030303030303]","[0, 1, 1]",0.49171270718232046,1
20200121-W-Australian_Open-R128-Kirsten_Flipkens-Karolina_Muchova,1,1,1,0,0,0,"[0.5714285714285714, 0.40425531914893614, 0.514018691588785]","[1, 0, 1]",0.5047619047619047,1
20200121-W-Australian_Open-R128-Kiki_Bertens-Irina_Camelia_Begu,1,1,1,0,0,0,"[0.4, 0.423728813559322]","[0, 0]",0.41346153846153844,0
